"","Province","Total","Immatricule_prop","Immatricule_N","Mecanise_prop","Mecanise_N","Present_prop","Present_N"
"1","bandundu",1786,0.48488241881299,866,0.216685330347144,387,0.604703247480403,1080
"2","equateur",1783,0.493550196298374,880,0.210880538418396,376,0.395401009534492,705
"3","katanga",1571,0.367281985996181,577,0.326543602800764,513,0.535327816677276,841
"4","sud_kivu",1422,0.370604781997187,527,0.0534458509142053,76,0.719409282700422,1023
