"","Role","median","max","min"
"1","",102.184001444565,126.009389671361,78.3586132177681
"2","administrateur",115.709642470206,734.445648248465,9.75081256771398
"3","autre",82.4178403755868,1386.78223185266,3.33333333333333
"4","infirmier",92.0910075839653,2058.8837125316,1.08342361863489
"5","labo",100.149873600578,602.948149145955,5.8902188488986
"6","medecin",685.918176032878,2040.73672806067,71.087035030697
"7","pharmacien",103.090285301553,704.227518959914,19.501625135428
