"","Province","Role","median","max","min"
"1","bandundu","administrateur",166.375947995666,442.95232936078,40.465872156013
"2","bandundu","administrateur_gestionnaire",158.590932366258,456.013001083424,17.3347778981582
"3","bandundu","autre",108.40465872156,831.002166847238,4.11700975081256
"4","bandundu","infirmier",92.8620783666127,959.913326110509,1.08342361863489
"5","bandundu","infirmier_superviseur",312.723726977248,1816.23182911178,106.472751144065
"6","bandundu","labo",88.2990249187433,364.04875406284,5.06200490456593
"7","bandundu","medecin",415.448717356639,1399,5.71136624435894
"8","bandundu","medecin_chef_zone",990.983334758742,1253.26110509209,27.0855904658722
"9","bandundu","pharmacien",60.4987472517606,151.673889490791,45.5037919826652
"10","equateur","administrateur",73.3250270855905,1393.1570964247,20.4767063921994
"11","equateur","administrateur_gestionnaire",308.362946912243,3820.92199349946,70
"12","equateur","autre",81.2741061755147,2141.71180931745,10
"13","equateur","infirmier",118.266522210184,1248.1744312026,2.16684723726977
"14","equateur","infirmier_superviseur",364.429035752979,561.310942578548,151.154929577465
"15","equateur","labo",71.9637053087758,258.429035752979,13.0010834236187
"16","equateur","medecin",826.286023835319,1661.20260021668,56.3380281690141
"17","equateur","medecin_chef_zone",901.137594799567,1465.46587215601,100
"18","equateur","pharmacien",116.684723726977,693.694474539545,28.7107258938245
"19","katanga","administrateur",221.966413867822,1395.94366197183,19.501625135428
"20","katanga","administrateur_gestionnaire",176.923076923077,623.450704225352,128.586132177681
"21","katanga","autre",98.5915492957747,1694.14951245937,3.7919826652221
"22","katanga","infirmier",184.171180931744,4908.34236186349,2.18685256084427
"23","katanga","infirmier_superviseur",623.082340195016,987.692307692307,433.553629469122
"24","katanga","labo",243.575839653305,1460.11917659805,3.7919826652221
"25","katanga","medecin",850.568797399783,5615.49295774648,159.425785482124
"26","katanga","medecin_chef_zone",1372.86565547129,2557.08559046587,744.127843986999
"27","katanga","pharmacien",170.633802816901,704.227518959914,49.8374864572048
"28","sud_kivu","administrateur",396.583965330444,840,30.7085590465872
"29","sud_kivu","administrateur_gestionnaire",431.351029252438,2313.54279523294,166.034669555796
"30","sud_kivu","autre",115.839653304442,880.985915492958,5
"31","sud_kivu","infirmier",156.708559046587,1078.95991332611,2.16684723726977
"32","sud_kivu","infirmier_superviseur",323.271939328277,612.71397616468,189.001083423619
"33","sud_kivu","labo",129.377031419285,562,21.3434452871073
"34","sud_kivu","medecin",1135.46045503792,2711.71180931744,213.1744312026
"35","sud_kivu","medecin_chef_zone",2078.61863488624,2936.71722643554,746.045503791983
"36","sud_kivu","pharmacien",114.884615384615,510,33.8353196099675
