"","Role","median","max","min"
"1","administrateur",160.834236186349,1395.94366197183,15.7096424702058
"2","administrateur_gestionnaire",167.42325749368,1822.44799566631,17.3347778981582
"3","autre",88.4189237992054,2097.54423979777,3.33333333333333
"4","infirmier",98.3241783252682,2908.34236186349,1.08342361863489
"5","infirmier_superviseur",228.383351390394,1714.37648935267,75.5965885657132
"6","labo",113.051643192488,1445.11917659805,3.7919826652221
"7","medecin",783.379017695918,4815.49295774648,9.83279646141455
"8","medecin_chef_zone",856.51047309498,2450.05055976887,27.0855904658722
"9","pharmacien",108.340556157458,704.227518959914,20
